GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3263)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
ribose phosphate metabolic process (GO:0019693)	361	45	21.09	+	2.13	2.31E-06	8.62E-05
amino acid metabolic process (GO:0006520)	681	84	39.78	+	2.11	1.81E-10	1.91E-08
secondary metabolic process (GO:0019748)	236	29	13.79	+	2.10	2.15E-04	3.92E-03
cell wall organization or biogenesis (GO:0071554)	822	99	48.02	+	2.06	1.16E-11	1.71E-09
glucan metabolic process (GO:0044042)	325	39	18.99	+	2.05	2.31E-05	6.65E-04
carbohydrate catabolic process (GO:0016052)	600	72	35.05	+	2.05	1.14E-08	8.27E-07
sulfur compound biosynthetic process (GO:0044272)	217	26	12.68	+	2.05	6.46E-04	9.82E-03
ribonucleoprotein complex biogenesis (GO:0022613)	710	85	41.48	+	2.05	4.66E-10	4.10E-08
carbohydrate derivative catabolic process (GO:1901136)	251	30	14.66	+	2.05	2.07E-04	3.80E-03
carboxylic acid metabolic process (GO:0019752)	1312	156	76.65	+	2.04	3.87E-17	1.19E-14
sulfur compound metabolic process (GO:0006790)	415	49	24.24	+	2.02	4.17E-06	1.45E-04
ribonucleotide biosynthetic process (GO:0009260)	178	21	10.40	+	2.02	2.02E-03	2.56E-02
nucleoside phosphate catabolic process (GO:1901292)	195	23	11.39	+	2.02	1.78E-03	2.37E-02
alpha-amino acid metabolic process (GO:1901605)	467	55	27.28	+	2.02	8.48E-07	3.68E-05
DNA replication (GO:0006260)	273	32	15.95	+	2.01	2.20E-04	3.96E-03
oxoacid metabolic process (GO:0043436)	1332	156	77.82	+	2.00	1.76E-16	5.00E-14
organic acid metabolic process (GO:0006082)	1334	156	77.93	+	2.00	1.90E-16	5.01E-14
methylation (GO:0032259)	516	60	30.15	+	1.99	6.13E-07	2.90E-05
organophosphate catabolic process (GO:0046434)	253	29	14.78	+	1.96	6.21E-04	9.51E-03
hexose metabolic process (GO:0019318)	289	33	16.88	+	1.95	2.28E-04	4.09E-03
anatomical structure morphogenesis (GO:0009653)	308	35	17.99	+	1.95	2.00E-04	3.72E-03
ribose phosphate biosynthetic process (GO:0046390)	186	21	10.87	+	1.93	4.07E-03	4.05E-02
regulation of cell cycle (GO:0051726)	215	24	12.56	+	1.91	3.02E-03	3.35E-02
regulation of developmental process (GO:0050793)	236	26	13.79	+	1.89	1.91E-03	2.43E-02
monosaccharide metabolic process (GO:0005996)	354	39	20.68	+	1.89	1.48E-04	2.98E-03
monocarboxylic acid metabolic process (GO:0032787)	650	70	37.97	+	1.84	1.20E-06	4.81E-05
microtubule-based process (GO:0007017)	417	44	24.36	+	1.81	2.04E-04	3.76E-03
nicotinamide nucleotide metabolic process (GO:0046496)	238	25	13.90	+	1.80	4.96E-03	4.74E-02
purine nucleotide metabolic process (GO:0006163)	410	43	23.95	+	1.80	2.75E-04	4.70E-03
polysaccharide catabolic process (GO:0000272)	374	39	21.85	+	1.78	5.21E-04	8.15E-03
purine-containing compound biosynthetic process (GO:0072522)	240	25	14.02	+	1.78	5.23E-03	4.96E-02
pyridine nucleotide metabolic process (GO:0019362)	240	25	14.02	+	1.78	5.23E-03	4.95E-02
polysaccharide biosynthetic process (GO:0000271)	269	28	15.72	+	1.78	3.66E-03	3.78E-02
microtubule cytoskeleton organization (GO:0000226)	269	28	15.72	+	1.78	3.66E-03	3.77E-02
pyridine-containing compound metabolic process (GO:0072524)	251	26	14.66	+	1.77	4.34E-03	4.23E-02
nucleotide metabolic process (GO:0009117)	520	53	30.38	+	1.74	9.97E-05	2.19E-03
small molecule metabolic process (GO:0044281)	2446	249	142.90	+	1.74	1.27E-17	4.26E-15
biosynthetic process (GO:0009058)	6744	684	393.99	+	1.74	7.74E-50	2.86E-46
purine-containing compound metabolic process (GO:0072521)	565	57	33.01	+	1.73	6.43E-05	1.44E-03
carbohydrate metabolic process (GO:0005975)	1861	177	108.72	+	1.63	1.87E-10	1.91E-08
gene expression (GO:0010467)	3564	337	208.21	+	1.62	9.42E-19	3.86E-16
generation of precursor metabolites and energy (GO:0006091)	636	60	37.16	+	1.61	3.21E-04	5.36E-03
polysaccharide metabolic process (GO:0005976)	722	68	42.18	+	1.61	1.16E-04	2.45E-03
nucleoside phosphate metabolic process (GO:0006753)	759	70	44.34	+	1.58	1.73E-04	3.34E-03
macromolecule biosynthetic process (GO:0009059)	4239	383	247.65	+	1.55	5.96E-18	2.20E-15
nucleobase-containing small molecule metabolic process (GO:0055086)	819	72	47.85	+	1.50	6.86E-04	1.04E-02
protein-containing complex assembly (GO:0065003)	690	60	40.31	+	1.49	2.39E-03	2.85E-02
organophosphate metabolic process (GO:0019637)	1226	106	71.62	+	1.48	5.99E-05	1.39E-03
cellular component biogenesis (GO:0044085)	1754	147	102.47	+	1.43	1.30E-05	4.03E-04
phosphate-containing compound metabolic process (GO:0006796)	1276	106	74.55	+	1.42	2.83E-04	4.82E-03
phosphorus metabolic process (GO:0006793)	1276	106	74.55	+	1.42	2.83E-04	4.80E-03
RNA processing (GO:0006396)	1423	117	83.13	+	1.41	2.36E-04	4.22E-03
metabolic process (GO:0008152)	14386	1169	840.45	+	1.39	3.19E-39	3.92E-36
RNA biosynthetic process (GO:0032774)	1931	154	112.81	+	1.37	1.12E-04	2.39E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	2448	195	143.02	+	1.36	1.22E-05	3.89E-04
lipid metabolic process (GO:0006629)	1687	134	98.56	+	1.36	3.30E-04	5.42E-03
nucleic acid biosynthetic process (GO:0141187)	2058	160	120.23	+	1.33	2.65E-04	4.61E-03
cellular component organization or biogenesis (GO:0071840)	4470	344	261.14	+	1.32	1.18E-07	6.92E-06
primary metabolic process (GO:0044238)	12147	933	709.64	+	1.31	2.73E-21	1.44E-18
cellular process (GO:0009987)	23234	1762	1357.36	+	1.30	8.92E-49	1.65E-45
RNA metabolic process (GO:0016070)	2634	196	153.88	+	1.27	5.55E-04	8.65E-03
transmembrane transport (GO:0055085)	2733	199	159.67	+	1.25	1.46E-03	1.98E-02
nucleobase-containing compound metabolic process (GO:0006139)	4471	324	261.20	+	1.24	4.92E-05	1.19E-03
biological_process (GO:0008150)	29105	2045	1700.35	+	1.20	5.75E-36	5.31E-33
macromolecule metabolic process (GO:0043170)	8457	592	494.07	+	1.20	1.50E-06	5.83E-05
cellular component organization (GO:0016043)	3926	274	229.36	+	1.19	2.12E-03	2.66E-02
nucleic acid metabolic process (GO:0090304)	3646	253	213.00	+	1.19	4.36E-03	4.24E-02
Unclassified (UNCLASSIFIED)	26748	1218	1562.65	-	.78	5.75E-36	4.24E-33
response to stress (GO:0006950)	3176	132	185.55	-	.71	1.49E-05	4.43E-04
macromolecule modification (GO:0043412)	2038	84	119.06	-	.71	5.19E-04	8.15E-03
nitrogen compound transport (GO:0071705)	1554	59	90.79	-	.65	2.84E-04	4.79E-03
protein localization (GO:0008104)	1381	50	80.68	-	.62	1.92E-04	3.65E-03
DNA repair (GO:0006281)	858	31	50.13	-	.62	4.08E-03	4.05E-02
cellular macromolecule localization (GO:0070727)	1385	50	80.91	-	.62	1.58E-04	3.15E-03
DNA damage response (GO:0006974)	901	32	52.64	-	.61	2.03E-03	2.56E-02
establishment of protein localization (GO:0045184)	1249	42	72.97	-	.58	6.82E-05	1.52E-03
protein transport (GO:0015031)	1123	37	65.61	-	.56	1.07E-04	2.34E-03
defense response (GO:0006952)	1143	36	66.78	-	.54	3.15E-05	8.61E-04
intracellular protein transport (GO:0006886)	605	19	35.34	-	.54	2.91E-03	3.28E-02
cellular localization (GO:0051641)	1682	51	98.26	-	.52	8.27E-08	5.01E-06
defense response to other organism (GO:0098542)	600	18	35.05	-	.51	1.57E-03	2.12E-02
protein modification process (GO:0036211)	1313	39	76.71	-	.51	1.25E-06	4.98E-05
protein modification by small protein conjugation (GO:0032446)	916	27	53.51	-	.50	6.28E-05	1.43E-03
protein ubiquitination (GO:0016567)	870	25	50.83	-	.49	5.56E-05	1.33E-03
post-translational protein modification (GO:0043687)	1019	27	59.53	-	.45	2.00E-06	7.70E-05
protein modification by small protein conjugation or removal (GO:0070647)	1019	27	59.53	-	.45	2.00E-06	7.62E-05
RNA splicing (GO:0008380)	484	12	28.28	-	.42	6.13E-04	9.44E-03
proton transmembrane transport (GO:1902600)	309	7	18.05	-	.39	4.73E-03	4.55E-02
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	398	9	23.25	-	.39	1.15E-03	1.64E-02
RNA splicing, via transesterification reactions (GO:0000375)	399	9	23.31	-	.39	8.42E-04	1.25E-02
proteolysis involved in protein catabolic process (GO:0051603)	869	19	50.77	-	.37	2.61E-07	1.32E-05
protein catabolic process (GO:0030163)	880	19	51.41	-	.37	2.03E-07	1.13E-05
intracellular transport (GO:0046907)	928	20	54.21	-	.37	6.38E-08	3.93E-06
vesicle-mediated transport (GO:0016192)	976	21	57.02	-	.37	2.77E-08	1.83E-06
establishment of localization in cell (GO:0051649)	987	20	57.66	-	.35	6.29E-09	4.74E-07
Golgi vesicle transport (GO:0048193)	324	6	18.93	-	.32	7.76E-04	1.15E-02
modification-dependent protein catabolic process (GO:0019941)	677	12	39.55	-	.30	2.41E-07	1.27E-05
modification-dependent macromolecule catabolic process (GO:0043632)	681	12	39.78	-	.30	2.45E-07	1.26E-05
proteasomal protein catabolic process (GO:0010498)	440	7	25.71	-	.27	1.47E-05	4.40E-04
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	355	5	20.74	-	.24	5.49E-05	1.32E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	658	7	38.44	-	.18	4.87E-10	4.18E-08
mRNA splicing, via spliceosome (GO:0000398)	369	3	21.56	-	.14	9.87E-07	4.19E-05
membrane lipid biosynthetic process (GO:0046467)	136	1	7.95	-	.13	5.12E-03	4.87E-02
endosomal transport (GO:0016197)	150	1	8.76	-	.11	2.46E-03	2.91E-02
membrane lipid metabolic process (GO:0006643)	161	1	9.41	-	.11	1.15E-03	1.64E-02
telomere maintenance (GO:0000723)	330	2	19.28	-	.10	8.41E-07	3.74E-05
telomere organization (GO:0032200)	330	2	19.28	-	.10	8.41E-07	3.70E-05
macroautophagy (GO:0016236)	104	0	6.08	-	 < 0.01	4.84E-03	4.64E-02
nuclear-transcribed mRNA catabolic process (GO:0000956)	129	0	7.54	-	 < 0.01	9.47E-04	1.39E-02
regulation of growth (GO:0040008)	105	0	6.13	-	 < 0.01	2.95E-03	3.28E-02
protein modification by small protein removal (GO:0070646)	103	0	6.02	-	 < 0.01	4.70E-03	4.53E-02
vacuole organization (GO:0007033)	100	0	5.84	-	 < 0.01	4.45E-03	4.30E-02
mRNA cis splicing, via spliceosome (GO:0045292)	98	0	5.73	-	 < 0.01	4.40E-03	4.26E-02
