GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3703)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
macromolecule localization (GO:0033036)	1669	57	110.65	-	.52	7.63E-09	4.70E-07
cell cycle process (GO:0022402)	575	19	38.12	-	.50	6.95E-04	1.07E-02
cellular localization (GO:0051641)	1682	55	111.51	-	.49	1.01E-09	8.31E-08
establishment of localization in cell (GO:0051649)	987	32	65.44	-	.49	2.99E-06	1.02E-04
intracellular transport (GO:0046907)	928	30	61.53	-	.49	5.48E-06	1.67E-04
sulfur compound metabolic process (GO:0006790)	415	13	27.51	-	.47	2.76E-03	3.25E-02
RNA modification (GO:0009451)	717	22	47.54	-	.46	2.93E-05	6.98E-04
generation of precursor metabolites and energy (GO:0006091)	636	19	42.17	-	.45	5.58E-05	1.26E-03
intracellular protein transport (GO:0006886)	605	18	40.11	-	.45	9.96E-05	2.15E-03
protein localization (GO:0008104)	1381	41	91.56	-	.45	1.29E-09	9.91E-08
cellular macromolecule localization (GO:0070727)	1385	41	91.82	-	.45	9.84E-10	8.65E-08
cell cycle (GO:0007049)	710	21	47.07	-	.45	1.85E-05	4.74E-04
protein transport (GO:0015031)	1123	33	74.45	-	.44	3.93E-08	2.20E-06
gene expression (GO:0010467)	3564	101	236.29	-	.43	1.92E-25	2.36E-22
establishment of protein localization (GO:0045184)	1249	35	82.81	-	.42	1.17E-09	9.22E-08
Golgi vesicle transport (GO:0048193)	324	9	21.48	-	.42	3.31E-03	3.69E-02
DNA-templated transcription (GO:0006351)	515	14	34.14	-	.41	1.13E-04	2.40E-03
nucleobase-containing compound metabolic process (GO:0006139)	4471	121	296.42	-	.41	1.83E-34	3.37E-31
nucleobase-containing compound biosynthetic process (GO:0034654)	2448	65	162.30	-	.40	1.96E-19	8.05E-17
mitotic cell cycle process (GO:1903047)	307	8	20.35	-	.39	2.55E-03	3.01E-02
mRNA processing (GO:0006397)	684	17	45.35	-	.37	1.29E-06	4.80E-05
mRNA metabolic process (GO:0016071)	886	22	58.74	-	.37	2.60E-08	1.52E-06
tRNA metabolic process (GO:0006399)	363	9	24.07	-	.37	6.21E-04	9.63E-03
establishment of protein localization to organelle (GO:0072594)	372	9	24.66	-	.36	3.40E-04	5.86E-03
localization within membrane (GO:0051668)	253	6	16.77	-	.36	3.35E-03	3.72E-02
protein localization to organelle (GO:0033365)	472	11	31.29	-	.35	3.57E-05	8.34E-04
RNA biosynthetic process (GO:0032774)	1931	45	128.02	-	.35	2.11E-18	7.09E-16
RNA metabolic process (GO:0016070)	2634	61	174.63	-	.35	4.54E-25	4.19E-22
proton transmembrane transport (GO:1902600)	309	7	20.49	-	.34	7.82E-04	1.20E-02
nucleic acid metabolic process (GO:0090304)	3646	80	241.73	-	.33	6.89E-37	2.54E-33
nucleic acid biosynthetic process (GO:0141187)	2058	45	136.44	-	.33	4.96E-21	3.67E-18
cell division (GO:0051301)	367	8	24.33	-	.33	1.34E-04	2.77E-03
RNA processing (GO:0006396)	1423	31	94.34	-	.33	8.68E-15	1.78E-12
mitotic cell cycle (GO:0000278)	386	8	25.59	-	.31	5.35E-05	1.22E-03
nuclear transport (GO:0051169)	202	4	13.39	-	.30	4.19E-03	4.51E-02
nucleocytoplasmic transport (GO:0006913)	202	4	13.39	-	.30	4.19E-03	4.49E-02
protein localization to membrane (GO:0072657)	210	4	13.92	-	.29	3.09E-03	3.51E-02
DNA metabolic process (GO:0006259)	1057	20	70.08	-	.29	5.77E-13	8.87E-11
sulfur compound biosynthetic process (GO:0044272)	217	4	14.39	-	.28	2.27E-03	2.76E-02
DNA damage response (GO:0006974)	901	16	59.74	-	.27	7.95E-12	1.13E-09
DNA repair (GO:0006281)	858	15	56.88	-	.26	2.56E-11	3.38E-09
translation (GO:0006412)	989	16	65.57	-	.24	8.33E-14	1.62E-11
RNA catabolic process (GO:0006401)	187	3	12.40	-	.24	2.77E-03	3.25E-02
supramolecular fiber organization (GO:0097435)	253	4	16.77	-	.24	3.16E-04	5.47E-03
electron transport chain (GO:0022900)	192	3	12.73	-	.24	1.96E-03	2.45E-02
ribonucleoprotein complex biogenesis (GO:0022613)	710	11	47.07	-	.23	1.59E-10	1.78E-08
photosynthesis, light reaction (GO:0019684)	148	2	9.81	-	.20	4.47E-03	4.40E-02
photosynthesis (GO:0015979)	306	4	20.29	-	.20	1.48E-05	3.82E-04
DNA recombination (GO:0006310)	539	7	35.74	-	.20	4.85E-09	3.09E-07
rRNA processing (GO:0006364)	400	5	26.52	-	.19	4.66E-07	1.89E-05
RNA splicing (GO:0008380)	484	6	32.09	-	.19	1.98E-08	1.18E-06
rRNA metabolic process (GO:0016072)	423	5	28.04	-	.18	1.14E-07	5.41E-06
chromosome segregation (GO:0007059)	170	2	11.27	-	.18	1.63E-03	2.08E-02
transcription by RNA polymerase II (GO:0006366)	172	2	11.40	-	.18	1.10E-03	1.50E-02
mRNA splicing, via spliceosome (GO:0000398)	369	4	24.46	-	.16	4.69E-07	1.88E-05
aerobic respiration (GO:0009060)	197	2	13.06	-	.15	2.65E-04	4.82E-03
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	398	4	26.39	-	.15	7.84E-08	3.81E-06
RNA splicing, via transesterification reactions (GO:0000375)	399	4	26.45	-	.15	7.98E-08	3.83E-06
membraneless organelle assembly (GO:0140694)	202	2	13.39	-	.15	1.85E-04	3.55E-03
ribosome biogenesis (GO:0042254)	564	5	37.39	-	.13	2.19E-11	2.99E-09
protein targeting (GO:0006605)	257	2	17.04	-	.12	7.04E-06	2.08E-04
nuclear-transcribed mRNA catabolic process (GO:0000956)	129	1	8.55	-	.12	2.32E-03	2.81E-02
DNA replication (GO:0006260)	273	2	18.10	-	.11	3.65E-06	1.20E-04
chromosome organization (GO:0051276)	552	4	36.60	-	.11	6.18E-12	9.13E-10
mitotic cell cycle phase transition (GO:0044772)	96	0	6.36	-	 < 0.01	2.98E-03	3.42E-02
cell cycle phase transition (GO:0044770)	96	0	6.36	-	 < 0.01	2.98E-03	3.41E-02
spindle assembly (GO:0051225)	89	0	5.90	-	 < 0.01	4.35E-03	4.56E-02
mitochondrial gene expression (GO:0140053)	87	0	5.77	-	 < 0.01	4.25E-03	4.53E-02
protein localization to endoplasmic reticulum (GO:0070972)	106	0	7.03	-	 < 0.01	1.29E-03	1.74E-02
tRNA aminoacylation for protein translation (GO:0006418)	97	0	6.43	-	 < 0.01	3.07E-03	3.49E-02
import into nucleus (GO:0051170)	88	0	5.83	-	 < 0.01	4.28E-03	4.52E-02
maturation of SSU-rRNA (GO:0030490)	91	0	6.03	-	 < 0.01	4.56E-03	4.48E-02
DNA biosynthetic process (GO:0071897)	130	0	8.62	-	 < 0.01	2.64E-04	4.83E-03
protein-DNA complex organization (GO:0071824)	134	0	8.88	-	 < 0.01	1.73E-04	3.38E-03
protein transmembrane transport (GO:0071806)	149	0	9.88	-	 < 0.01	8.36E-05	1.84E-03
nucleotide-excision repair (GO:0006289)	123	0	8.15	-	 < 0.01	3.86E-04	6.55E-03
DNA-templated DNA replication (GO:0006261)	143	0	9.48	-	 < 0.01	1.24E-04	2.59E-03
ribosomal small subunit biogenesis (GO:0042274)	155	0	10.28	-	 < 0.01	5.65E-05	1.27E-03
ribosomal large subunit biogenesis (GO:0042273)	134	0	8.88	-	 < 0.01	1.73E-04	3.36E-03
regulation of pH (GO:0006885)	95	0	6.30	-	 < 0.01	2.92E-03	3.41E-02
protein-DNA complex assembly (GO:0065004)	128	0	8.49	-	 < 0.01	2.57E-04	4.77E-03
oxidative phosphorylation (GO:0006119)	96	0	6.36	-	 < 0.01	2.98E-03	3.40E-02
protein localization to nucleus (GO:0034504)	88	0	5.83	-	 < 0.01	4.28E-03	4.51E-02
protein localization to mitochondrion (GO:0070585)	87	0	5.77	-	 < 0.01	4.25E-03	4.51E-02
telomere maintenance (GO:0000723)	330	0	21.88	-	 < 0.01	2.33E-10	2.33E-08
protein targeting to membrane (GO:0006612)	105	0	6.96	-	 < 0.01	1.28E-03	1.73E-02
G1/S transition of mitotic cell cycle (GO:0000082)	89	0	5.90	-	 < 0.01	4.35E-03	4.55E-02
establishment of protein localization to mitochondrion (GO:0072655)	87	0	5.77	-	 < 0.01	4.25E-03	4.50E-02
telomere organization (GO:0032200)	330	0	21.88	-	 < 0.01	2.33E-10	2.27E-08
cell cycle G1/S phase transition (GO:0044843)	89	0	5.90	-	 < 0.01	4.35E-03	4.53E-02
mRNA cis splicing, via spliceosome (GO:0045292)	98	0	6.50	-	 < 0.01	1.90E-03	2.39E-02
tRNA aminoacylation (GO:0043039)	105	0	6.96	-	 < 0.01	1.28E-03	1.73E-02
amino acid activation (GO:0043038)	106	0	7.03	-	 < 0.01	1.29E-03	1.74E-02
