GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3524)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
nucleotide catabolic process (GO:0009166)	169	28	10.66	+	2.63	2.67E-06	6.08E-05
lignin metabolic process (GO:0009808)	73	12	4.61	+	2.61	1.96E-03	1.89E-02
microtubule-based process (GO:0007017)	417	68	26.31	+	2.58	7.06E-13	7.66E-11
plastid organization (GO:0009657)	197	32	12.43	+	2.57	8.42E-07	2.34E-05
organophosphate catabolic process (GO:0046434)	253	41	15.96	+	2.57	2.82E-08	1.28E-06
cell wall modification (GO:0042545)	229	37	14.45	+	2.56	1.41E-07	5.20E-06
ribonucleoside monophosphate biosynthetic process (GO:0009156)	93	15	5.87	+	2.56	7.02E-04	8.15E-03
pigment metabolic process (GO:0042440)	155	25	9.78	+	2.56	1.44E-05	2.78E-04
nucleoside diphosphate catabolic process (GO:0009134)	162	26	10.22	+	2.54	1.07E-05	2.11E-04
response to cold (GO:0009409)	94	15	5.93	+	2.53	7.87E-04	9.00E-03
amino acid biosynthetic process (GO:0008652)	370	59	23.34	+	2.53	8.80E-11	6.50E-09
fatty acid biosynthetic process (GO:0006633)	233	37	14.70	+	2.52	2.20E-07	7.90E-06
cytoskeleton-dependent cytokinesis (GO:0061640)	63	10	3.97	+	2.52	5.84E-03	4.48E-02
mitotic cytokinesis (GO:0000281)	63	10	3.97	+	2.52	5.84E-03	4.47E-02
ribonucleoside triphosphate metabolic process (GO:0009199)	246	39	15.52	+	2.51	1.10E-07	4.11E-06
ribonucleoprotein complex biogenesis (GO:0022613)	710	112	44.80	+	2.50	3.94E-19	8.56E-17
ribonucleotide biosynthetic process (GO:0009260)	178	28	11.23	+	2.49	7.44E-06	1.52E-04
modified amino acid metabolic process (GO:0006575)	186	29	11.74	+	2.47	6.16E-06	1.29E-04
ribonucleotide metabolic process (GO:0009259)	347	54	21.89	+	2.47	1.04E-09	5.80E-08
carbohydrate catabolic process (GO:0016052)	600	93	37.86	+	2.46	1.54E-15	2.28E-13
cell wall organization (GO:0071555)	694	107	43.79	+	2.44	1.36E-17	2.64E-15
nucleoside triphosphate metabolic process (GO:0009141)	267	41	16.85	+	2.43	1.56E-07	5.65E-06
abscisic acid-activated signaling pathway (GO:0009738)	85	13	5.36	+	2.42	2.53E-03	2.35E-02
cellular response to abscisic acid stimulus (GO:0071215)	85	13	5.36	+	2.42	2.53E-03	2.34E-02
cellular response to alcohol (GO:0097306)	85	13	5.36	+	2.42	2.53E-03	2.34E-02
sulfur compound metabolic process (GO:0006790)	415	63	26.18	+	2.41	1.54E-10	1.06E-08
ribonucleoside monophosphate metabolic process (GO:0009161)	99	15	6.25	+	2.40	1.36E-03	1.41E-02
water-soluble vitamin metabolic process (GO:0006767)	99	15	6.25	+	2.40	1.36E-03	1.41E-02
pyridine-containing compound metabolic process (GO:0072524)	251	38	15.84	+	2.40	6.02E-07	1.79E-05
carbohydrate derivative catabolic process (GO:1901136)	251	38	15.84	+	2.40	6.02E-07	1.78E-05
ribose phosphate biosynthetic process (GO:0046390)	186	28	11.74	+	2.39	2.26E-05	4.11E-04
ribose phosphate metabolic process (GO:0019693)	361	54	22.78	+	2.37	5.20E-09	2.70E-07
pectin catabolic process (GO:0045490)	174	26	10.98	+	2.37	5.02E-05	8.20E-04
chloroplast organization (GO:0009658)	161	24	10.16	+	2.36	1.05E-04	1.59E-03
alpha-amino acid biosynthetic process (GO:1901607)	322	48	20.32	+	2.36	4.65E-08	1.97E-06
aromatic amino acid family biosynthetic process (GO:0009073)	94	14	5.93	+	2.36	2.28E-03	2.17E-02
cellular response to light stimulus (GO:0071482)	74	11	4.67	+	2.36	6.53E-03	4.92E-02
cytokinesis (GO:0000910)	81	12	5.11	+	2.35	4.74E-03	3.74E-02
external encapsulating structure organization (GO:0045229)	724	107	45.68	+	2.34	3.10E-16	5.45E-14
tRNA processing (GO:0008033)	210	31	13.25	+	2.34	1.05E-05	2.08E-04
nicotinamide nucleotide metabolic process (GO:0046496)	238	35	15.02	+	2.33	3.02E-06	6.77E-05
organic acid biosynthetic process (GO:0016053)	716	105	45.18	+	2.32	9.22E-16	1.48E-13
carboxylic acid biosynthetic process (GO:0046394)	716	105	45.18	+	2.32	9.22E-16	1.42E-13
small molecule biosynthetic process (GO:0044283)	962	141	60.70	+	2.32	1.37E-20	3.90E-18
pyridine nucleotide metabolic process (GO:0019362)	240	35	15.14	+	2.31	3.60E-06	8.02E-05
actin cytoskeleton organization (GO:0030036)	193	28	12.18	+	2.30	3.76E-05	6.40E-04
microtubule cytoskeleton organization (GO:0000226)	269	39	16.97	+	2.30	1.59E-06	3.95E-05
tetrapyrrole metabolic process (GO:0033013)	104	15	6.56	+	2.29	3.37E-03	3.01E-02
actin filament-based process (GO:0030029)	195	28	12.30	+	2.28	4.43E-05	7.37E-04
nucleoside phosphate catabolic process (GO:1901292)	195	28	12.30	+	2.28	4.43E-05	7.34E-04
porphyrin-containing compound metabolic process (GO:0006778)	98	14	6.18	+	2.26	5.05E-03	3.93E-02
spindle organization (GO:0007051)	126	18	7.95	+	2.26	1.23E-03	1.30E-02
nucleobase metabolic process (GO:0009112)	84	12	5.30	+	2.26	6.37E-03	4.83E-02
regulation of organelle organization (GO:0033043)	190	27	11.99	+	2.25	7.14E-05	1.13E-03
cell division (GO:0051301)	367	52	23.16	+	2.25	5.78E-08	2.37E-06
alcohol metabolic process (GO:0006066)	184	26	11.61	+	2.24	1.06E-04	1.58E-03
monocarboxylic acid biosynthetic process (GO:0072330)	262	37	16.53	+	2.24	4.66E-06	1.02E-04
response to abscisic acid (GO:0009737)	142	20	8.96	+	2.23	7.20E-04	8.31E-03
response to alcohol (GO:0097305)	142	20	8.96	+	2.23	7.20E-04	8.28E-03
purine ribonucleotide metabolic process (GO:0009150)	299	42	18.87	+	2.23	1.13E-06	3.03E-05
polysaccharide catabolic process (GO:0000272)	374	52	23.60	+	2.20	9.22E-08	3.55E-06
membraneless organelle assembly (GO:0140694)	202	28	12.75	+	2.20	1.05E-04	1.58E-03
nucleotide metabolic process (GO:0009117)	520	72	32.81	+	2.19	4.90E-10	2.92E-08
purine ribonucleoside triphosphate metabolic process (GO:0009205)	224	31	14.13	+	2.19	4.15E-05	7.00E-04
purine-containing compound catabolic process (GO:0072523)	188	26	11.86	+	2.19	2.07E-04	2.82E-03
ATP metabolic process (GO:0046034)	210	29	13.25	+	2.19	7.96E-05	1.24E-03
cell wall organization or biogenesis (GO:0071554)	822	113	51.86	+	2.18	8.31E-15	1.14E-12
cytoskeleton organization (GO:0007010)	488	67	30.79	+	2.18	2.87E-09	1.54E-07
nucleotide biosynthetic process (GO:0009165)	255	35	16.09	+	2.18	1.44E-05	2.78E-04
cell cycle (GO:0007049)	710	97	44.80	+	2.17	9.20E-13	9.71E-11
isoprenoid biosynthetic process (GO:0008299)	205	28	12.93	+	2.16	1.24E-04	1.81E-03
L-amino acid metabolic process (GO:0170033)	403	55	25.43	+	2.16	8.16E-08	3.17E-06
fatty acid metabolic process (GO:0006631)	367	50	23.16	+	2.16	3.85E-07	1.28E-05
tRNA modification (GO:0006400)	147	20	9.27	+	2.16	1.04E-03	1.13E-02
cell cycle process (GO:0022402)	575	78	36.28	+	2.15	2.26E-10	1.41E-08
chromosome segregation (GO:0007059)	170	23	10.73	+	2.14	6.49E-04	7.68E-03
carboxylic acid metabolic process (GO:0019752)	1312	177	82.78	+	2.14	1.22E-21	4.99E-19
actin filament organization (GO:0007015)	179	24	11.29	+	2.13	5.11E-04	6.19E-03
aromatic amino acid metabolic process (GO:0009072)	142	19	8.96	+	2.12	2.57E-03	2.37E-02
methylation (GO:0032259)	516	69	32.56	+	2.12	4.79E-09	2.53E-07
sulfur compound biosynthetic process (GO:0044272)	217	29	13.69	+	2.12	1.24E-04	1.81E-03
purine nucleoside triphosphate metabolic process (GO:0009144)	233	31	14.70	+	2.11	1.08E-04	1.60E-03
oxoacid metabolic process (GO:0043436)	1332	177	84.04	+	2.11	7.11E-21	2.63E-18
organic acid metabolic process (GO:0006082)	1334	177	84.17	+	2.10	7.90E-21	2.65E-18
galacturonan metabolic process (GO:0010393)	227	30	14.32	+	2.09	1.56E-04	2.20E-03
pectin metabolic process (GO:0045488)	227	30	14.32	+	2.09	1.56E-04	2.19E-03
dicarboxylic acid metabolic process (GO:0043648)	145	19	9.15	+	2.08	2.84E-03	2.60E-02
proteinogenic amino acid metabolic process (GO:0170039)	420	55	26.50	+	2.08	3.05E-07	1.02E-05
regulation of anatomical structure morphogenesis (GO:0022603)	115	15	7.26	+	2.07	6.44E-03	4.87E-02
beta-glucan metabolic process (GO:0051273)	147	19	9.27	+	2.05	3.09E-03	2.81E-02
monocarboxylic acid metabolic process (GO:0032787)	650	84	41.01	+	2.05	5.68E-10	3.33E-08
nucleoside phosphate metabolic process (GO:0006753)	759	98	47.89	+	2.05	2.71E-11	2.22E-09
regulation of translation (GO:0006417)	163	21	10.28	+	2.04	1.78E-03	1.75E-02
chaperone-mediated protein folding (GO:0061077)	141	18	8.90	+	2.02	4.51E-03	3.59E-02
monosaccharide metabolic process (GO:0005996)	354	45	22.34	+	2.01	8.24E-06	1.67E-04
isoprenoid metabolic process (GO:0006720)	253	32	15.96	+	2.00	2.14E-04	2.90E-03
amide metabolic process (GO:0043603)	311	39	19.62	+	1.99	5.11E-05	8.31E-04
recombinational repair (GO:0000725)	184	23	11.61	+	1.98	1.93E-03	1.89E-02
purine nucleotide metabolic process (GO:0006163)	410	51	25.87	+	1.97	5.02E-06	1.09E-04
nucleoside phosphate biosynthetic process (GO:1901293)	394	49	24.86	+	1.97	5.91E-06	1.24E-04
small molecule metabolic process (GO:0044281)	2446	302	154.33	+	1.96	1.73E-29	9.12E-27
glucan biosynthetic process (GO:0009250)	162	20	10.22	+	1.96	4.98E-03	3.89E-02
regulation of cellular component organization (GO:0051128)	229	28	14.45	+	1.94	8.76E-04	9.78E-03
double-strand break repair via homologous recombination (GO:0000724)	173	21	10.92	+	1.92	4.10E-03	3.36E-02
mitochondrion organization (GO:0007005)	173	21	10.92	+	1.92	4.10E-03	3.36E-02
organelle fission (GO:0048285)	190	23	11.99	+	1.92	2.50E-03	2.32E-02
organophosphate metabolic process (GO:0019637)	1226	148	77.35	+	1.91	5.05E-14	6.22E-12
translation (GO:0006412)	989	119	62.40	+	1.91	2.21E-11	1.86E-09
nucleobase-containing small molecule metabolic process (GO:0055086)	819	98	51.67	+	1.90	1.74E-09	9.48E-08
carbohydrate metabolic process (GO:0005975)	1861	221	117.42	+	1.88	1.06E-19	2.61E-17
generation of precursor metabolites and energy (GO:0006091)	636	75	40.13	+	1.87	2.55E-07	8.87E-06
alpha-amino acid metabolic process (GO:1901605)	467	55	29.46	+	1.87	8.84E-06	1.77E-04
hexose metabolic process (GO:0019318)	289	34	18.23	+	1.86	5.63E-04	6.75E-03
phosphate-containing compound metabolic process (GO:0006796)	1276	148	80.51	+	1.84	1.01E-12	1.03E-10
phosphorus metabolic process (GO:0006793)	1276	148	80.51	+	1.84	1.01E-12	1.00E-10
energy derivation by oxidation of organic compounds (GO:0015980)	260	30	16.40	+	1.83	1.29E-03	1.36E-02
purine-containing compound metabolic process (GO:0072521)	565	64	35.65	+	1.80	7.23E-06	1.48E-04
lipid biosynthetic process (GO:0008610)	895	101	56.47	+	1.79	2.07E-08	9.58E-07
polysaccharide metabolic process (GO:0005976)	722	81	45.55	+	1.78	6.27E-07	1.82E-05
protein folding (GO:0006457)	462	51	29.15	+	1.75	1.07E-04	1.59E-03
organophosphate biosynthetic process (GO:0090407)	716	78	45.18	+	1.73	2.89E-06	6.51E-05
biosynthetic process (GO:0009058)	6744	734	425.51	+	1.73	1.46E-52	1.79E-49
anatomical structure morphogenesis (GO:0009653)	308	33	19.43	+	1.70	3.03E-03	2.77E-02
glycerolipid metabolic process (GO:0046486)	327	35	20.63	+	1.70	2.72E-03	2.50E-02
lipid metabolic process (GO:0006629)	1687	178	106.44	+	1.67	1.91E-11	1.64E-09
nucleobase-containing compound catabolic process (GO:0034655)	419	44	26.44	+	1.66	1.12E-03	1.21E-02
carbohydrate biosynthetic process (GO:0016051)	401	42	25.30	+	1.66	1.30E-03	1.36E-02
cellular component biogenesis (GO:0044085)	1754	182	110.67	+	1.64	4.59E-11	3.53E-09
carbohydrate derivative metabolic process (GO:1901135)	1047	108	66.06	+	1.63	6.46E-07	1.86E-05
amino acid metabolic process (GO:0006520)	681	69	42.97	+	1.61	1.26E-04	1.83E-03
RNA processing (GO:0006396)	1423	142	89.78	+	1.58	7.24E-08	2.87E-06
cellular component organization or biogenesis (GO:0071840)	4470	438	282.03	+	1.55	8.23E-21	2.53E-18
gene expression (GO:0010467)	3564	344	224.87	+	1.53	1.92E-15	2.72E-13
carbohydrate derivative biosynthetic process (GO:1901137)	630	60	39.75	+	1.51	1.65E-03	1.66E-02
nucleobase-containing compound biosynthetic process (GO:0034654)	2448	232	154.45	+	1.50	5.92E-10	3.42E-08
macromolecule biosynthetic process (GO:0009059)	4239	401	267.46	+	1.50	1.52E-16	2.80E-14
metabolic process (GO:0008152)	14386	1315	907.67	+	1.45	5.15E-55	9.51E-52
nucleic acid biosynthetic process (GO:0141187)	2058	185	129.85	+	1.42	1.43E-06	3.59E-05
cellular component organization (GO:0016043)	3926	350	247.71	+	1.41	3.48E-11	2.73E-09
RNA biosynthetic process (GO:0032774)	1931	172	121.83	+	1.41	5.65E-06	1.21E-04
primary metabolic process (GO:0044238)	12147	1065	766.41	+	1.39	6.59E-34	4.06E-31
organelle organization (GO:0006996)	2018	171	127.32	+	1.34	1.04E-04	1.58E-03
cellular process (GO:0009987)	23234	1951	1465.93	+	1.33	1.15E-64	4.25E-61
nucleobase-containing compound metabolic process (GO:0006139)	4471	372	282.09	+	1.32	3.25E-08	1.46E-06
RNA metabolic process (GO:0016070)	2634	203	166.19	+	1.22	3.10E-03	2.82E-02
biological_process (GO:0008150)	29105	2221	1836.36	+	1.21	2.04E-41	1.51E-38
macromolecule metabolic process (GO:0043170)	8457	637	533.59	+	1.19	9.19E-07	2.53E-05
nucleic acid metabolic process (GO:0090304)	3646	274	230.04	+	1.19	2.43E-03	2.30E-02
regulation of biological process (GO:0050789)	8101	445	511.13	-	.87	1.01E-03	1.11E-02
biological regulation (GO:0065007)	8475	463	534.72	-	.87	4.34E-04	5.36E-03
regulation of cellular process (GO:0050794)	7834	427	494.28	-	.86	6.51E-04	7.68E-03
regulation of metabolic process (GO:0019222)	5123	257	323.23	-	.80	4.62E-05	7.61E-04
regulation of macromolecule metabolic process (GO:0060255)	4955	248	312.63	-	.79	5.26E-05	8.48E-04
regulation of biosynthetic process (GO:0009889)	4810	237	303.48	-	.78	2.41E-05	4.34E-04
regulation of gene expression (GO:0010468)	4750	233	299.70	-	.78	1.89E-05	3.51E-04
regulation of macromolecule biosynthetic process (GO:0010556)	4760	233	300.33	-	.78	1.67E-05	3.11E-04
regulation of primary metabolic process (GO:0080090)	4558	223	287.58	-	.78	2.66E-05	4.67E-04
Unclassified (UNCLASSIFIED)	26748	1303	1687.64	-	.77	2.04E-41	1.88E-38
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4249	195	268.09	-	.73	6.88E-07	1.94E-05
macromolecule modification (GO:0043412)	2038	93	128.59	-	.72	6.90E-04	8.06E-03
regulation of RNA biosynthetic process (GO:2001141)	4021	182	253.70	-	.72	5.96E-07	1.81E-05
regulation of DNA-templated transcription (GO:0006355)	4021	182	253.70	-	.72	5.96E-07	1.79E-05
regulation of RNA metabolic process (GO:0051252)	4137	184	261.02	-	.70	1.00E-07	3.81E-06
protein localization (GO:0008104)	1381	60	87.13	-	.69	1.67E-03	1.68E-02
cellular macromolecule localization (GO:0070727)	1385	60	87.39	-	.69	1.68E-03	1.68E-02
nitrogen compound transport (GO:0071705)	1554	67	98.05	-	.68	6.90E-04	8.09E-03
cellular localization (GO:0051641)	1682	71	106.12	-	.67	1.96E-04	2.68E-03
positive regulation of biological process (GO:0048518)	911	38	57.48	-	.66	5.90E-03	4.48E-02
vesicle-mediated transport (GO:0016192)	976	38	61.58	-	.62	1.10E-03	1.19E-02
establishment of protein localization (GO:0045184)	1249	48	78.80	-	.61	1.56E-04	2.19E-03
protein transport (GO:0015031)	1123	41	70.85	-	.58	8.91E-05	1.38E-03
positive regulation of macromolecule metabolic process (GO:0010604)	776	28	48.96	-	.57	1.04E-03	1.13E-02
multicellular organism development (GO:0007275)	754	27	47.57	-	.57	1.14E-03	1.22E-02
inorganic ion transmembrane transport (GO:0098660)	743	26	46.88	-	.55	8.01E-04	9.10E-03
inorganic cation transmembrane transport (GO:0098662)	661	22	41.71	-	.53	9.06E-04	1.00E-02
positive regulation of DNA-templated transcription (GO:0045893)	582	19	36.72	-	.52	1.43E-03	1.48E-02
positive regulation of RNA biosynthetic process (GO:1902680)	582	19	36.72	-	.52	1.43E-03	1.48E-02
system development (GO:0048731)	651	21	41.07	-	.51	6.13E-04	7.28E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	668	20	42.15	-	.47	1.52E-04	2.17E-03
positive regulation of RNA metabolic process (GO:0051254)	650	19	41.01	-	.46	1.24E-04	1.81E-03
intracellular transport (GO:0046907)	928	25	58.55	-	.43	5.49E-07	1.68E-05
establishment of localization in cell (GO:0051649)	987	26	62.27	-	.42	1.43E-07	5.21E-06
mRNA processing (GO:0006397)	684	18	43.16	-	.42	1.63E-05	3.05E-04
protein modification process (GO:0036211)	1313	33	82.84	-	.40	1.86E-10	1.21E-08
RNA splicing (GO:0008380)	484	12	30.54	-	.39	1.52E-04	2.16E-03
intracellular protein transport (GO:0006886)	605	15	38.17	-	.39	2.20E-05	4.04E-04
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	398	9	25.11	-	.36	2.59E-04	3.37E-03
RNA splicing, via transesterification reactions (GO:0000375)	399	9	25.17	-	.36	2.61E-04	3.38E-03
protein modification by small protein conjugation (GO:0032446)	916	19	57.79	-	.33	1.70E-09	9.36E-08
post-translational protein modification (GO:0043687)	1019	21	64.29	-	.33	1.77E-10	1.19E-08
protein modification by small protein conjugation or removal (GO:0070647)	1019	21	64.29	-	.33	1.77E-10	1.17E-08
protein catabolic process (GO:0030163)	880	16	55.52	-	.29	2.86E-10	1.76E-08
telomere maintenance (GO:0000723)	330	6	20.82	-	.29	2.27E-04	3.03E-03
telomere organization (GO:0032200)	330	6	20.82	-	.29	2.27E-04	3.02E-03
response to ethylene (GO:0009723)	222	4	14.01	-	.29	3.20E-03	2.87E-02
proteolysis involved in protein catabolic process (GO:0051603)	869	15	54.83	-	.27	1.35E-10	9.39E-09
protein ubiquitination (GO:0016567)	870	15	54.89	-	.27	9.38E-11	6.80E-09
mRNA splicing, via spliceosome (GO:0000398)	369	6	23.28	-	.26	3.37E-05	5.76E-04
proteasomal protein catabolic process (GO:0010498)	440	6	27.76	-	.22	6.07E-07	1.78E-05
endomembrane system organization (GO:0010256)	157	2	9.91	-	.20	4.57E-03	3.64E-02
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	166	2	10.47	-	.19	3.34E-03	3.00E-02
modification-dependent protein catabolic process (GO:0019941)	677	7	42.71	-	.16	9.43E-12	8.93E-10
modification-dependent macromolecule catabolic process (GO:0043632)	681	7	42.97	-	.16	1.00E-11	9.24E-10
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	355	2	22.40	-	.09	6.46E-08	2.59E-06
ubiquitin-dependent protein catabolic process (GO:0006511)	658	2	41.52	-	.05	3.32E-16	5.57E-14
regulation of protein stability (GO:0031647)	85	0	5.36	-	 < 0.01	6.44E-03	4.87E-02
tRNA aminoacylation for protein translation (GO:0006418)	97	0	6.12	-	 < 0.01	2.88E-03	2.64E-02
transcription by RNA polymerase II (GO:0006366)	172	0	10.85	-	 < 0.01	2.45E-05	4.38E-04
response to reactive oxygen species (GO:0000302)	104	0	6.56	-	 < 0.01	1.94E-03	1.90E-02
regulation of growth (GO:0040008)	105	0	6.62	-	 < 0.01	1.96E-03	1.90E-02
protein polyubiquitination (GO:0000209)	116	0	7.32	-	 < 0.01	8.70E-04	9.73E-03
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	124	0	7.82	-	 < 0.01	5.96E-04	7.10E-03
tRNA aminoacylation (GO:0043039)	105	0	6.62	-	 < 0.01	1.96E-03	1.89E-02
amino acid activation (GO:0043038)	106	0	6.69	-	 < 0.01	1.99E-03	1.91E-02
