GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3044)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
establishment of protein localization (GO:0045184)	1249	24	68.07	-	.35	4.28E-10	3.96E-08
nucleobase-containing compound catabolic process (GO:0034655)	419	8	22.84	-	.35	4.81E-04	8.00E-03
establishment of protein localization to organelle (GO:0072594)	372	7	20.27	-	.35	8.29E-04	1.27E-02
RNA splicing (GO:0008380)	484	9	26.38	-	.34	1.14E-04	2.38E-03
intracellular protein transport (GO:0006886)	605	11	32.97	-	.33	1.22E-05	3.20E-04
chromosome organization (GO:0051276)	552	10	30.08	-	.33	2.76E-05	6.53E-04
mRNA metabolic process (GO:0016071)	886	15	48.29	-	.31	1.57E-08	1.05E-06
purine ribonucleotide metabolic process (GO:0009150)	299	5	16.30	-	.31	1.90E-03	2.55E-02
photosynthesis (GO:0015979)	306	5	16.68	-	.30	1.39E-03	1.99E-02
ribosome biogenesis (GO:0042254)	564	9	30.74	-	.29	5.73E-06	1.72E-04
localization within membrane (GO:0051668)	253	4	13.79	-	.29	3.22E-03	3.69E-02
protein localization to organelle (GO:0033365)	472	7	25.72	-	.27	1.52E-05	3.89E-04
cell differentiation (GO:0030154)	338	5	18.42	-	.27	4.03E-04	6.80E-03
cellular developmental process (GO:0048869)	340	5	18.53	-	.27	2.81E-04	5.16E-03
DNA damage response (GO:0006974)	901	12	49.10	-	.24	1.72E-10	1.77E-08
DNA repair (GO:0006281)	858	11	46.76	-	.24	2.73E-10	2.65E-08
rRNA processing (GO:0006364)	400	5	21.80	-	.23	2.08E-05	5.11E-04
rRNA metabolic process (GO:0016072)	423	5	23.05	-	.22	7.67E-06	2.23E-04
DNA metabolic process (GO:0006259)	1057	11	57.61	-	.19	3.06E-14	6.27E-12
pyruvate metabolic process (GO:0006090)	193	2	10.52	-	.19	3.53E-03	3.99E-02
membraneless organelle assembly (GO:0140694)	202	2	11.01	-	.18	1.66E-03	2.29E-02
ATP metabolic process (GO:0046034)	210	2	11.45	-	.17	1.18E-03	1.72E-02
protein localization to membrane (GO:0072657)	210	2	11.45	-	.17	1.18E-03	1.72E-02
purine ribonucleoside triphosphate metabolic process (GO:0009205)	224	2	12.21	-	.16	5.81E-04	9.17E-03
protein targeting (GO:0006605)	257	2	14.01	-	.14	1.45E-04	2.91E-03
chromosome segregation (GO:0007059)	170	1	9.27	-	.11	1.79E-03	2.45E-02
DNA recombination (GO:0006310)	539	2	29.38	-	.07	5.48E-11	6.53E-09
establishment of RNA localization (GO:0051236)	115	0	6.27	-	 < 0.01	3.06E-03	3.57E-02
nucleic acid catabolic process (GO:0141188)	201	0	10.95	-	 < 0.01	2.74E-05	6.53E-04
protein localization to endoplasmic reticulum (GO:0070972)	106	0	5.78	-	 < 0.01	4.48E-03	4.87E-02
RNA localization (GO:0006403)	123	0	6.70	-	 < 0.01	2.09E-03	2.75E-02
mRNA catabolic process (GO:0006402)	160	0	8.72	-	 < 0.01	3.01E-04	5.47E-03
RNA catabolic process (GO:0006401)	187	0	10.19	-	 < 0.01	6.03E-05	1.30E-03
nuclear transport (GO:0051169)	202	0	11.01	-	 < 0.01	2.81E-05	6.62E-04
nuclear export (GO:0051168)	121	0	6.59	-	 < 0.01	2.03E-03	2.70E-02
RNA transport (GO:0050658)	115	0	6.27	-	 < 0.01	3.06E-03	3.56E-02
nucleic acid transport (GO:0050657)	115	0	6.27	-	 < 0.01	3.06E-03	3.55E-02
nucleocytoplasmic transport (GO:0006913)	202	0	11.01	-	 < 0.01	2.81E-05	6.58E-04
DNA biosynthetic process (GO:0071897)	130	0	7.09	-	 < 0.01	1.40E-03	2.00E-02
protein transmembrane transport (GO:0071806)	149	0	8.12	-	 < 0.01	4.16E-04	6.97E-03
DNA-templated DNA replication (GO:0006261)	143	0	7.79	-	 < 0.01	6.25E-04	9.81E-03
DNA replication (GO:0006260)	273	0	14.88	-	 < 0.01	3.41E-07	1.63E-05
nuclear-transcribed mRNA catabolic process (GO:0000956)	129	0	7.03	-	 < 0.01	1.38E-03	1.99E-02
establishment of protein localization to membrane (GO:0090150)	166	0	9.05	-	 < 0.01	1.97E-04	3.86E-03
telomere maintenance (GO:0000723)	330	0	17.99	-	 < 0.01	1.47E-08	1.04E-06
sulfur compound biosynthetic process (GO:0044272)	217	0	11.83	-	 < 0.01	7.95E-06	2.30E-04
protein targeting to membrane (GO:0006612)	105	0	5.72	-	 < 0.01	4.47E-03	4.89E-02
telomere organization (GO:0032200)	330	0	17.99	-	 < 0.01	1.47E-08	1.02E-06
tRNA aminoacylation (GO:0043039)	105	0	5.72	-	 < 0.01	4.47E-03	4.87E-02
amino acid activation (GO:0043038)	106	0	5.78	-	 < 0.01	4.48E-03	4.85E-02
