GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3947)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
photosynthesis (GO:0015979)	306	5	21.62	-	.23	2.58E-05	8.42E-04
DNA metabolic process (GO:0006259)	1057	17	74.70	-	.23	2.38E-16	1.47E-13
RNA catabolic process (GO:0006401)	187	3	13.21	-	.23	1.38E-03	2.20E-02
protein targeting (GO:0006605)	257	4	18.16	-	.22	7.82E-05	2.26E-03
nucleoside phosphate catabolic process (GO:1901292)	195	3	13.78	-	.22	6.82E-04	1.25E-02
ribonucleoside diphosphate catabolic process (GO:0009191)	144	2	10.18	-	.20	3.09E-03	3.78E-02
purine ribonucleoside diphosphate catabolic process (GO:0009181)	144	2	10.18	-	.20	3.09E-03	3.76E-02
purine ribonucleotide catabolic process (GO:0009154)	144	2	10.18	-	.20	3.09E-03	3.75E-02
purine nucleoside diphosphate catabolic process (GO:0009137)	144	2	10.18	-	.20	3.09E-03	3.74E-02
ADP catabolic process (GO:0046032)	144	2	10.18	-	.20	3.09E-03	3.73E-02
ADP metabolic process (GO:0046031)	144	2	10.18	-	.20	3.09E-03	3.72E-02
glycolytic process (GO:0006096)	144	2	10.18	-	.20	3.09E-03	3.70E-02
ribonucleotide catabolic process (GO:0009261)	144	2	10.18	-	.20	3.09E-03	3.69E-02
pyridine nucleotide catabolic process (GO:0019364)	147	2	10.39	-	.19	3.15E-03	3.76E-02
pyridine-containing compound catabolic process (GO:0072526)	149	2	10.53	-	.19	3.28E-03	3.89E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	150	2	10.60	-	.19	2.17E-03	2.87E-02
purine nucleoside diphosphate metabolic process (GO:0009135)	150	2	10.60	-	.19	2.17E-03	2.86E-02
ribosomal small subunit biogenesis (GO:0042274)	155	2	10.95	-	.18	2.32E-03	3.00E-02
purine nucleotide catabolic process (GO:0006195)	156	2	11.02	-	.18	1.53E-03	2.24E-02
secondary metabolite biosynthetic process (GO:0044550)	158	2	11.17	-	.18	1.55E-03	2.26E-02
nucleoside diphosphate catabolic process (GO:0009134)	162	2	11.45	-	.17	1.07E-03	1.82E-02
nucleotide catabolic process (GO:0009166)	169	2	11.94	-	.17	7.60E-04	1.38E-02
double-strand break repair via homologous recombination (GO:0000724)	173	2	12.23	-	.16	5.26E-04	1.01E-02
recombinational repair (GO:0000725)	184	2	13.00	-	.15	2.56E-04	5.57E-03
pyruvate metabolic process (GO:0006090)	193	2	13.64	-	.15	1.85E-04	4.38E-03
ATP metabolic process (GO:0046034)	210	2	14.84	-	.13	6.26E-05	1.86E-03
purine ribonucleoside triphosphate metabolic process (GO:0009205)	224	2	15.83	-	.13	2.02E-05	7.18E-04
purine nucleoside triphosphate metabolic process (GO:0009144)	233	2	16.47	-	.12	1.47E-05	5.39E-04
secondary metabolic process (GO:0019748)	236	2	16.68	-	.12	9.76E-06	4.09E-04
nucleotide-excision repair (GO:0006289)	123	1	8.69	-	.12	2.28E-03	2.96E-02
nuclear-transcribed mRNA catabolic process (GO:0000956)	129	1	9.12	-	.11	1.58E-03	2.29E-02
DNA-templated transcription initiation (GO:0006352)	142	1	10.03	-	.10	7.70E-04	1.39E-02
DNA recombination (GO:0006310)	539	2	38.09	-	.05	8.72E-15	2.68E-12
protein localization to endoplasmic reticulum (GO:0070972)	106	0	7.49	-	 < 0.01	8.61E-04	1.49E-02
tRNA aminoacylation for protein translation (GO:0006418)	97	0	6.85	-	 < 0.01	2.05E-03	2.78E-02
maturation of SSU-rRNA (GO:0030490)	91	0	6.43	-	 < 0.01	3.00E-03	3.70E-02
phenylpropanoid biosynthetic process (GO:0009699)	125	0	8.83	-	 < 0.01	1.67E-04	4.00E-03
phenylpropanoid metabolic process (GO:0009698)	182	0	12.86	-	 < 0.01	3.17E-06	1.46E-04
DNA biosynthetic process (GO:0071897)	130	0	9.19	-	 < 0.01	1.12E-04	2.99E-03
DNA-templated DNA replication (GO:0006261)	143	0	10.11	-	 < 0.01	5.09E-05	1.54E-03
DNA replication (GO:0006260)	273	0	19.29	-	 < 0.01	3.54E-09	2.84E-07
protein deubiquitination (GO:0016579)	83	0	5.87	-	 < 0.01	4.22E-03	4.68E-02
tricarboxylic acid cycle (GO:0006099)	94	0	6.64	-	 < 0.01	1.89E-03	2.63E-02
telomere maintenance (GO:0000723)	330	0	23.32	-	 < 0.01	7.24E-11	7.86E-09
telomere organization (GO:0032200)	330	0	23.32	-	 < 0.01	7.24E-11	7.64E-09
tRNA aminoacylation (GO:0043039)	105	0	7.42	-	 < 0.01	8.44E-04	1.46E-02
amino acid activation (GO:0043038)	106	0	7.49	-	 < 0.01	8.61E-04	1.48E-02
