GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3657)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
organic acid biosynthetic process (GO:0016053)	716	70	46.88	+	1.49	1.01E-03	1.24E-02
carboxylic acid biosynthetic process (GO:0046394)	716	70	46.88	+	1.49	1.01E-03	1.23E-02
protein ubiquitination (GO:0016567)	870	85	56.96	+	1.49	2.40E-04	3.71E-03
cellular response to stimulus (GO:0051716)	4194	396	274.60	+	1.44	8.56E-14	7.35E-12
transmembrane transport (GO:0055085)	2733	250	178.94	+	1.40	7.98E-08	2.86E-06
regulation of RNA biosynthetic process (GO:2001141)	4021	366	263.28	+	1.39	9.64E-11	5.74E-09
regulation of DNA-templated transcription (GO:0006355)	4021	366	263.28	+	1.39	9.64E-11	5.65E-09
post-translational protein modification (GO:0043687)	1019	92	66.72	+	1.38	2.09E-03	2.24E-02
protein modification by small protein conjugation or removal (GO:0070647)	1019	92	66.72	+	1.38	2.09E-03	2.23E-02
regulation of RNA metabolic process (GO:0051252)	4137	370	270.87	+	1.37	6.05E-10	3.15E-08
regulation of biological process (GO:0050789)	8101	721	530.42	+	1.36	6.00E-19	8.52E-17
biological regulation (GO:0065007)	8475	753	554.90	+	1.36	1.03E-19	1.74E-17
small molecule metabolic process (GO:0044281)	2446	217	160.15	+	1.35	6.02E-06	1.40E-04
regulation of cellular process (GO:0050794)	7834	693	512.93	+	1.35	1.57E-17	2.00E-15
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4249	373	278.21	+	1.34	4.81E-09	2.09E-07
regulation of primary metabolic process (GO:0080090)	4558	385	298.44	+	1.29	1.74E-07	5.88E-06
regulation of gene expression (GO:0010468)	4750	392	311.01	+	1.26	1.44E-06	4.00E-05
proteolysis (GO:0006508)	1661	137	108.75	+	1.26	5.57E-03	4.89E-02
regulation of macromolecule biosynthetic process (GO:0010556)	4760	392	311.66	+	1.26	1.98E-06	5.16E-05
regulation of biosynthetic process (GO:0009889)	4810	392	314.94	+	1.24	5.40E-06	1.26E-04
regulation of macromolecule metabolic process (GO:0060255)	4955	399	324.43	+	1.23	1.26E-05	2.65E-04
regulation of metabolic process (GO:0019222)	5123	405	335.43	+	1.21	6.22E-05	1.14E-03
biological_process (GO:0008150)	29105	2212	1905.66	+	1.16	7.12E-26	3.76E-23
cellular process (GO:0009987)	23234	1651	1521.26	+	1.09	7.51E-06	1.68E-04
Unclassified (UNCLASSIFIED)	26748	1445	1751.34	-	.83	7.12E-26	3.29E-23
cellular component organization or biogenesis (GO:0071840)	4470	240	292.68	-	.82	7.38E-04	9.56E-03
macromolecule metabolic process (GO:0043170)	8457	452	553.73	-	.82	7.66E-07	2.26E-05
biosynthetic process (GO:0009058)	6744	340	441.57	-	.77	3.96E-08	1.49E-06
vesicle-mediated transport (GO:0016192)	976	40	63.90	-	.63	1.33E-03	1.52E-02
macromolecule localization (GO:0033036)	1669	65	109.28	-	.59	2.73E-06	6.62E-05
organelle organization (GO:0006996)	2018	74	132.13	-	.56	1.15E-08	4.51E-07
macromolecule biosynthetic process (GO:0009059)	4239	155	277.55	-	.56	1.86E-17	2.29E-15
nucleoside phosphate metabolic process (GO:0006753)	759	27	49.70	-	.54	3.73E-04	5.36E-03
intracellular protein transport (GO:0006886)	605	21	39.61	-	.53	1.20E-03	1.41E-02
nucleotide metabolic process (GO:0009117)	520	18	34.05	-	.53	3.11E-03	3.04E-02
cellular response to stress (GO:0033554)	1374	46	89.96	-	.51	1.78E-07	5.99E-06
intracellular transport (GO:0046907)	928	30	60.76	-	.49	8.99E-06	1.90E-04
protein transport (GO:0015031)	1123	36	73.53	-	.49	6.98E-07	2.17E-05
establishment of localization in cell (GO:0051649)	987	31	64.62	-	.48	2.53E-06	6.20E-05
cellular localization (GO:0051641)	1682	52	110.13	-	.47	2.17E-10	1.23E-08
gene expression (GO:0010467)	3564	110	233.35	-	.47	3.47E-21	7.12E-19
establishment of protein localization (GO:0045184)	1249	38	81.78	-	.46	3.18E-08	1.21E-06
protein localization (GO:0008104)	1381	42	90.42	-	.46	5.78E-09	2.40E-07
cellular macromolecule localization (GO:0070727)	1385	42	90.68	-	.46	4.46E-09	1.98E-07
protein localization to organelle (GO:0033365)	472	14	30.90	-	.45	7.15E-04	9.47E-03
DNA-templated transcription (GO:0006351)	515	15	33.72	-	.44	3.14E-04	4.61E-03
purine ribonucleotide metabolic process (GO:0009150)	299	8	19.58	-	.41	4.51E-03	4.07E-02
chromatin remodeling (GO:0006338)	457	12	29.92	-	.40	2.69E-04	4.01E-03
cell cycle process (GO:0022402)	575	15	37.65	-	.40	2.80E-05	5.56E-04
nucleobase-containing compound biosynthetic process (GO:0034654)	2448	62	160.28	-	.39	3.63E-20	6.38E-18
methylation (GO:0032259)	516	13	33.79	-	.38	4.89E-05	9.27E-04
RNA biosynthetic process (GO:0032774)	1931	48	126.43	-	.38	1.90E-16	2.12E-14
chromatin organization (GO:0006325)	577	14	37.78	-	.37	8.97E-06	1.90E-04
cell cycle (GO:0007049)	710	17	46.49	-	.37	5.43E-07	1.75E-05
protein targeting (GO:0006605)	257	6	16.83	-	.36	3.37E-03	3.23E-02
nucleic acid biosynthetic process (GO:0141187)	2058	48	134.75	-	.36	5.40E-19	7.98E-17
RNA processing (GO:0006396)	1423	33	93.17	-	.35	1.92E-13	1.51E-11
photosynthesis (GO:0015979)	306	7	20.04	-	.35	1.06E-03	1.26E-02
rRNA processing (GO:0006364)	400	9	26.19	-	.34	1.46E-04	2.44E-03
nucleobase-containing compound metabolic process (GO:0006139)	4471	96	292.74	-	.33	2.94E-45	1.09E-41
rRNA metabolic process (GO:0016072)	423	9	27.70	-	.32	4.30E-05	8.19E-04
RNA modification (GO:0009451)	717	15	46.95	-	.32	4.72E-08	1.71E-06
RNA metabolic process (GO:0016070)	2634	55	172.46	-	.32	2.42E-27	1.79E-24
mitotic cell cycle process (GO:1903047)	307	6	20.10	-	.30	2.92E-04	4.31E-03
purine nucleotide metabolic process (GO:0006163)	410	8	26.84	-	.30	2.13E-05	4.34E-04
mRNA metabolic process (GO:0016071)	886	17	58.01	-	.29	1.17E-10	6.76E-09
ATP metabolic process (GO:0046034)	210	4	13.75	-	.29	3.05E-03	2.99E-02
mRNA processing (GO:0006397)	684	13	44.79	-	.29	2.15E-08	8.37E-07
purine ribonucleoside triphosphate metabolic process (GO:0009205)	224	4	14.67	-	.27	1.62E-03	1.81E-02
nucleic acid metabolic process (GO:0090304)	3646	64	238.72	-	.27	8.41E-45	1.55E-41
purine nucleoside triphosphate metabolic process (GO:0009144)	233	4	15.26	-	.26	1.21E-03	1.41E-02
ribosome biogenesis (GO:0042254)	564	9	36.93	-	.24	4.28E-08	1.58E-06
localization within membrane (GO:0051668)	253	4	16.57	-	.24	3.11E-04	4.57E-03
mitotic cell cycle (GO:0000278)	386	6	25.27	-	.24	6.36E-06	1.45E-04
sulfur compound biosynthetic process (GO:0044272)	217	3	14.21	-	.21	5.01E-04	6.90E-03
pyridine-containing compound catabolic process (GO:0072526)	149	2	9.76	-	.21	4.49E-03	4.06E-02
protein transmembrane transport (GO:0071806)	149	2	9.76	-	.21	4.49E-03	4.05E-02
double-strand break repair (GO:0006302)	225	3	14.73	-	.20	3.59E-04	5.20E-03
ribosomal small subunit biogenesis (GO:0042274)	155	2	10.15	-	.20	3.17E-03	3.07E-02
purine nucleotide catabolic process (GO:0006195)	156	2	10.21	-	.20	3.17E-03	3.06E-02
ribonucleoprotein complex biogenesis (GO:0022613)	710	9	46.49	-	.19	1.29E-11	7.95E-10
nucleoside diphosphate catabolic process (GO:0009134)	162	2	10.61	-	.19	2.23E-03	2.34E-02
establishment of protein localization to membrane (GO:0090150)	166	2	10.87	-	.18	2.33E-03	2.41E-02
nucleotide catabolic process (GO:0009166)	169	2	11.07	-	.18	1.58E-03	1.78E-02
chromosome segregation (GO:0007059)	170	2	11.13	-	.18	1.59E-03	1.79E-02
cell division (GO:0051301)	367	4	24.03	-	.17	6.67E-07	2.11E-05
pyruvate metabolic process (GO:0006090)	193	2	12.64	-	.16	3.81E-04	5.43E-03
nucleoside phosphate catabolic process (GO:1901292)	195	2	12.77	-	.16	3.87E-04	5.47E-03
protein localization to membrane (GO:0072657)	210	2	13.75	-	.15	2.00E-04	3.20E-03
DNA metabolic process (GO:0006259)	1057	10	69.21	-	.14	1.36E-19	2.19E-17
Golgi vesicle transport (GO:0048193)	324	3	21.21	-	.14	1.32E-06	3.68E-05
nicotinamide nucleotide metabolic process (GO:0046496)	238	2	15.58	-	.13	3.13E-05	6.18E-04
pyridine nucleotide metabolic process (GO:0019362)	240	2	15.71	-	.13	3.27E-05	6.32E-04
translation (GO:0006412)	989	8	64.76	-	.12	1.51E-19	2.32E-17
pyridine-containing compound metabolic process (GO:0072524)	251	2	16.43	-	.12	1.54E-05	3.21E-04
DNA damage response (GO:0006974)	901	7	58.99	-	.12	3.33E-18	4.55E-16
DNA replication (GO:0006260)	273	2	17.87	-	.11	3.43E-06	8.28E-05
chromosome organization (GO:0051276)	552	4	36.14	-	.11	9.02E-12	5.64E-10
DNA repair (GO:0006281)	858	6	56.18	-	.11	5.63E-18	7.42E-16
transcription by RNA polymerase II (GO:0006366)	172	1	11.26	-	.09	2.64E-04	3.98E-03
double-strand break repair via homologous recombination (GO:0000724)	173	1	11.33	-	.09	1.70E-04	2.80E-03
recombinational repair (GO:0000725)	184	1	12.05	-	.08	1.25E-04	2.13E-03
mRNA splicing, via spliceosome (GO:0000398)	369	2	24.16	-	.08	8.97E-09	3.60E-07
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	398	2	26.06	-	.08	1.36E-09	6.86E-08
RNA splicing, via transesterification reactions (GO:0000375)	399	2	26.12	-	.08	1.37E-09	6.85E-08
RNA splicing (GO:0008380)	484	2	31.69	-	.06	7.11E-12	4.61E-10
DNA recombination (GO:0006310)	539	1	35.29	-	.03	7.15E-15	6.77E-13
cytoplasmic translation (GO:0002181)	168	0	11.00	-	 < 0.01	2.52E-05	5.05E-04
mitotic cell cycle phase transition (GO:0044772)	96	0	6.29	-	 < 0.01	2.92E-03	2.90E-02
cell cycle phase transition (GO:0044770)	96	0	6.29	-	 < 0.01	2.92E-03	2.89E-02
spindle assembly (GO:0051225)	89	0	5.83	-	 < 0.01	4.29E-03	3.93E-02
mitochondrial gene expression (GO:0140053)	87	0	5.70	-	 < 0.01	4.27E-03	4.01E-02
protein localization to endoplasmic reticulum (GO:0070972)	106	0	6.94	-	 < 0.01	1.28E-03	1.47E-02
membraneless organelle assembly (GO:0140694)	202	0	13.23	-	 < 0.01	2.25E-06	5.77E-05
tRNA aminoacylation for protein translation (GO:0006418)	97	0	6.35	-	 < 0.01	2.98E-03	2.94E-02
maturation of SSU-rRNA (GO:0030490)	91	0	5.96	-	 < 0.01	4.44E-03	4.03E-02
DNA-templated transcription initiation (GO:0006352)	142	0	9.30	-	 < 0.01	1.17E-04	2.02E-03
DNA biosynthetic process (GO:0071897)	130	0	8.51	-	 < 0.01	2.60E-04	3.94E-03
protein-RNA complex organization (GO:0071826)	223	0	14.60	-	 < 0.01	4.45E-07	1.47E-05
nucleotide-excision repair (GO:0006289)	123	0	8.05	-	 < 0.01	3.85E-04	5.46E-03
ribosomal large subunit biogenesis (GO:0042273)	134	0	8.77	-	 < 0.01	2.85E-04	4.23E-03
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	166	0	10.87	-	 < 0.01	2.40E-05	4.87E-04
protein-RNA complex assembly (GO:0022618)	219	0	14.34	-	 < 0.01	6.76E-07	2.12E-05
protein polyubiquitination (GO:0000209)	116	0	7.60	-	 < 0.01	9.32E-04	1.17E-02
telomere maintenance (GO:0000723)	330	0	21.61	-	 < 0.01	3.62E-10	1.94E-08
protein targeting to membrane (GO:0006612)	105	0	6.87	-	 < 0.01	1.28E-03	1.48E-02
G1/S transition of mitotic cell cycle (GO:0000082)	89	0	5.83	-	 < 0.01	4.29E-03	3.92E-02
telomere organization (GO:0032200)	330	0	21.61	-	 < 0.01	3.62E-10	1.91E-08
cell cycle G1/S phase transition (GO:0044843)	89	0	5.83	-	 < 0.01	4.29E-03	3.91E-02
mRNA cis splicing, via spliceosome (GO:0045292)	98	0	6.42	-	 < 0.01	3.06E-03	3.00E-02
tRNA aminoacylation (GO:0043039)	105	0	6.87	-	 < 0.01	1.28E-03	1.47E-02
amino acid activation (GO:0043038)	106	0	6.94	-	 < 0.01	1.28E-03	1.47E-02
