GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3973)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
purine ribonucleoside diphosphate metabolic process (GO:0009179)	150	26	10.67	+	2.44	2.10E-05	4.20E-04
purine nucleoside diphosphate metabolic process (GO:0009135)	150	26	10.67	+	2.44	2.10E-05	4.18E-04
cellular response to oxidative stress (GO:0034599)	75	13	5.33	+	2.44	2.30E-03	2.33E-02
nucleoside diphosphate catabolic process (GO:0009134)	162	28	11.52	+	2.43	1.73E-05	3.54E-04
thioester metabolic process (GO:0035383)	82	14	5.83	+	2.40	1.84E-03	1.97E-02
acyl-CoA metabolic process (GO:0006637)	82	14	5.83	+	2.40	1.84E-03	1.96E-02
tricarboxylic acid cycle (GO:0006099)	94	16	6.69	+	2.39	9.35E-04	1.11E-02
glucose metabolic process (GO:0006006)	100	17	7.11	+	2.39	6.68E-04	8.36E-03
purine ribonucleotide biosynthetic process (GO:0009152)	130	22	9.25	+	2.38	1.93E-04	2.92E-03
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	65	11	4.62	+	2.38	5.84E-03	4.43E-02
L-amino acid metabolic process (GO:0170033)	403	68	28.67	+	2.37	3.34E-11	3.52E-09
ribonucleotide biosynthetic process (GO:0009260)	178	30	12.66	+	2.37	1.10E-05	2.35E-04
purine ribonucleotide metabolic process (GO:0009150)	299	50	21.27	+	2.35	2.14E-08	1.23E-06
ribonucleotide metabolic process (GO:0009259)	347	58	24.68	+	2.35	1.37E-09	1.12E-07
vitamin biosynthetic process (GO:0009110)	114	19	8.11	+	2.34	6.50E-04	8.20E-03
pyrimidine nucleotide metabolic process (GO:0006220)	72	12	5.12	+	2.34	4.63E-03	3.97E-02
sulfur amino acid biosynthetic process (GO:0000097)	78	13	5.55	+	2.34	3.28E-03	3.08E-02
mitochondrial transmembrane transport (GO:1990542)	121	20	8.61	+	2.32	4.76E-04	6.32E-03
organic acid transmembrane transport (GO:1903825)	91	15	6.47	+	2.32	1.85E-03	1.97E-02
carboxylic acid transmembrane transport (GO:1905039)	91	15	6.47	+	2.32	1.85E-03	1.96E-02
abscisic acid-activated signaling pathway (GO:0009738)	85	14	6.05	+	2.32	2.61E-03	2.57E-02
cellular response to abscisic acid stimulus (GO:0071215)	85	14	6.05	+	2.32	2.61E-03	2.56E-02
cellular response to alcohol (GO:0097306)	85	14	6.05	+	2.32	2.61E-03	2.56E-02
nucleoside phosphate catabolic process (GO:1901292)	195	32	13.87	+	2.31	8.80E-06	2.04E-04
amide metabolic process (GO:0043603)	311	51	22.12	+	2.31	2.42E-08	1.37E-06
organic acid biosynthetic process (GO:0016053)	716	117	50.93	+	2.30	3.61E-17	8.89E-15
carboxylic acid biosynthetic process (GO:0046394)	716	117	50.93	+	2.30	3.61E-17	8.33E-15
cellular response to environmental stimulus (GO:0104004)	92	15	6.54	+	2.29	3.19E-03	3.04E-02
cellular response to abiotic stimulus (GO:0071214)	92	15	6.54	+	2.29	3.19E-03	3.03E-02
alpha-amino acid metabolic process (GO:1901605)	467	76	33.22	+	2.29	2.10E-11	2.35E-09
pyrimidine-containing compound metabolic process (GO:0072527)	123	20	8.75	+	2.29	5.43E-04	7.08E-03
rRNA processing (GO:0006364)	400	65	28.45	+	2.28	4.75E-10	4.28E-08
plant-type cell wall organization or biogenesis (GO:0071669)	321	52	22.83	+	2.28	3.99E-08	1.99E-06
ribose phosphate biosynthetic process (GO:0046390)	186	30	13.23	+	2.27	2.29E-05	4.48E-04
small molecule biosynthetic process (GO:0044283)	962	155	68.43	+	2.27	1.19E-21	3.67E-19
translation (GO:0006412)	989	159	70.35	+	2.26	3.96E-22	1.33E-19
ribose phosphate metabolic process (GO:0019693)	361	58	25.68	+	2.26	6.31E-09	4.57E-07
oxoacid metabolic process (GO:0043436)	1332	214	94.75	+	2.26	2.36E-29	1.09E-26
organic acid metabolic process (GO:0006082)	1334	214	94.89	+	2.26	2.80E-29	1.15E-26
RNA methylation (GO:0001510)	106	17	7.54	+	2.25	1.71E-03	1.85E-02
macromolecule methylation (GO:0043414)	106	17	7.54	+	2.25	1.71E-03	1.84E-02
purine-containing compound catabolic process (GO:0072523)	188	30	13.37	+	2.24	4.12E-05	7.39E-04
ribosome biogenesis (GO:0042254)	564	90	40.12	+	2.24	6.73E-13	1.08E-10
response to cold (GO:0009409)	94	15	6.69	+	2.24	3.54E-03	3.28E-02
carboxylic acid metabolic process (GO:0019752)	1312	208	93.33	+	2.23	8.79E-28	3.25E-25
mitotic cell cycle process (GO:1903047)	307	48	21.84	+	2.20	2.83E-07	1.07E-05
rRNA metabolic process (GO:0016072)	423	66	30.09	+	2.19	1.82E-09	1.43E-07
chaperone-mediated protein folding (GO:0061077)	141	22	10.03	+	2.19	4.43E-04	5.97E-03
hexose metabolic process (GO:0019318)	289	45	20.56	+	2.19	7.74E-07	2.58E-05
amino acid metabolic process (GO:0006520)	681	105	48.44	+	2.17	9.38E-14	1.92E-11
mitotic cell cycle (GO:0000278)	386	59	27.46	+	2.15	3.95E-08	2.00E-06
isoprenoid biosynthetic process (GO:0008299)	205	31	14.58	+	2.13	9.44E-05	1.54E-03
DNA replication (GO:0006260)	273	41	19.42	+	2.11	7.90E-06	1.85E-04
monosaccharide metabolic process (GO:0005996)	354	53	25.18	+	2.10	3.56E-07	1.31E-05
tRNA modification (GO:0006400)	147	22	10.46	+	2.10	9.74E-04	1.15E-02
pyridine-containing compound metabolic process (GO:0072524)	251	37	17.85	+	2.07	3.31E-05	6.20E-04
amide biosynthetic process (GO:0043604)	129	19	9.18	+	2.07	2.77E-03	2.71E-02
'de novo' protein folding (GO:0006458)	116	17	8.25	+	2.06	5.38E-03	4.28E-02
purine nucleotide metabolic process (GO:0006163)	410	60	29.16	+	2.06	1.14E-07	5.12E-06
isoprenoid metabolic process (GO:0006720)	253	37	18.00	+	2.06	3.57E-05	6.52E-04
organophosphate catabolic process (GO:0046434)	253	37	18.00	+	2.06	3.57E-05	6.49E-04
monocarboxylic acid metabolic process (GO:0032787)	650	95	46.24	+	2.05	2.93E-11	3.19E-09
monocarboxylic acid biosynthetic process (GO:0072330)	262	38	18.64	+	2.04	2.97E-05	5.60E-04
small molecule metabolic process (GO:0044281)	2446	351	173.99	+	2.02	3.72E-37	2.29E-34
carbohydrate derivative catabolic process (GO:1901136)	251	36	17.85	+	2.02	6.05E-05	1.04E-03
nicotinamide nucleotide metabolic process (GO:0046496)	238	34	16.93	+	2.01	1.11E-04	1.78E-03
sulfur compound biosynthetic process (GO:0044272)	217	31	15.44	+	2.01	2.67E-04	3.86E-03
nucleoside triphosphate metabolic process (GO:0009141)	267	38	18.99	+	2.00	5.98E-05	1.04E-03
nucleotide metabolic process (GO:0009117)	520	74	36.99	+	2.00	1.44E-08	9.31E-07
purine-containing compound biosynthetic process (GO:0072522)	240	34	17.07	+	1.99	1.23E-04	1.96E-03
pyridine nucleotide metabolic process (GO:0019362)	240	34	17.07	+	1.99	1.23E-04	1.95E-03
purine-containing compound metabolic process (GO:0072521)	565	80	40.19	+	1.99	4.72E-09	3.49E-07
aromatic amino acid metabolic process (GO:0009072)	142	20	10.10	+	1.98	2.96E-03	2.85E-02
cell wall modification (GO:0042545)	229	32	16.29	+	1.96	2.48E-04	3.62E-03
ribonucleoprotein complex biogenesis (GO:0022613)	710	99	50.50	+	1.96	1.48E-10	1.44E-08
energy derivation by oxidation of organic compounds (GO:0015980)	260	36	18.49	+	1.95	1.37E-04	2.15E-03
ribonucleoside triphosphate metabolic process (GO:0009199)	246	34	17.50	+	1.94	2.42E-04	3.58E-03
phenylpropanoid metabolic process (GO:0009698)	182	25	12.95	+	1.93	2.01E-03	2.09E-02
purine nucleoside triphosphate metabolic process (GO:0009144)	233	32	16.57	+	1.93	4.50E-04	6.02E-03
mitochondrial transport (GO:0006839)	146	20	10.39	+	1.93	5.18E-03	4.16E-02
organelle fission (GO:0048285)	190	26	13.52	+	1.92	1.53E-03	1.69E-02
glucan biosynthetic process (GO:0009250)	162	22	11.52	+	1.91	3.21E-03	3.04E-02
methylation (GO:0032259)	516	70	36.70	+	1.91	2.57E-07	1.01E-05
cellular respiration (GO:0045333)	214	29	15.22	+	1.91	7.63E-04	9.33E-03
ribosomal small subunit biogenesis (GO:0042274)	155	21	11.03	+	1.90	4.23E-03	3.73E-02
carbohydrate catabolic process (GO:0016052)	600	81	42.68	+	1.90	3.62E-08	1.86E-06
carboxylic acid transport (GO:0046942)	163	22	11.59	+	1.90	3.39E-03	3.16E-02
organic acid transport (GO:0015849)	163	22	11.59	+	1.90	3.39E-03	3.15E-02
protein folding (GO:0006457)	462	62	32.86	+	1.89	1.66E-06	4.86E-05
purine ribonucleoside triphosphate metabolic process (GO:0009205)	224	30	15.93	+	1.88	9.33E-04	1.12E-02
cell division (GO:0051301)	367	49	26.11	+	1.88	2.30E-05	4.47E-04
nucleotide biosynthetic process (GO:0009165)	255	34	18.14	+	1.87	5.15E-04	6.82E-03
tRNA processing (GO:0008033)	210	28	14.94	+	1.87	1.67E-03	1.82E-02
ATP metabolic process (GO:0046034)	210	28	14.94	+	1.87	1.67E-03	1.81E-02
nucleoside phosphate metabolic process (GO:0006753)	759	101	53.99	+	1.87	1.46E-09	1.17E-07
purine nucleotide biosynthetic process (GO:0006164)	166	22	11.81	+	1.86	5.61E-03	4.43E-02
aerobic respiration (GO:0009060)	197	26	14.01	+	1.86	2.07E-03	2.15E-02
cytoplasmic translation (GO:0002181)	168	22	11.95	+	1.84	5.95E-03	4.50E-02
recombinational repair (GO:0000725)	184	24	13.09	+	1.83	3.70E-03	3.41E-02
fatty acid biosynthetic process (GO:0006633)	233	30	16.57	+	1.81	1.87E-03	1.98E-02
generation of precursor metabolites and energy (GO:0006091)	636	81	45.24	+	1.79	3.66E-07	1.34E-05
nucleobase-containing small molecule metabolic process (GO:0055086)	819	103	58.26	+	1.77	2.11E-08	1.24E-06
biosynthetic process (GO:0009058)	6744	841	479.72	+	1.75	6.78E-64	1.25E-60
RNA modification (GO:0009451)	717	88	51.00	+	1.73	7.53E-07	2.53E-05
response to lipid (GO:0033993)	296	36	21.06	+	1.71	1.97E-03	2.06E-02
response to light stimulus (GO:0009416)	289	35	20.56	+	1.70	2.57E-03	2.54E-02
cell wall organization (GO:0071555)	694	83	49.37	+	1.68	3.55E-06	9.37E-05
cell cycle process (GO:0022402)	575	68	40.90	+	1.66	4.04E-05	7.27E-04
response to radiation (GO:0009314)	296	35	21.06	+	1.66	3.02E-03	2.89E-02
nucleobase-containing compound catabolic process (GO:0034655)	419	49	29.80	+	1.64	7.57E-04	9.28E-03
nucleoside phosphate biosynthetic process (GO:1901293)	394	46	28.03	+	1.64	1.06E-03	1.24E-02
organophosphate metabolic process (GO:0019637)	1226	142	87.21	+	1.63	1.12E-08	7.49E-07
response to abiotic stimulus (GO:0009628)	722	83	51.36	+	1.62	2.06E-05	4.14E-04
external encapsulating structure organization (GO:0045229)	724	83	51.50	+	1.61	2.13E-05	4.20E-04
fatty acid metabolic process (GO:0006631)	367	42	26.11	+	1.61	2.89E-03	2.80E-02
gene expression (GO:0010467)	3564	405	253.52	+	1.60	2.22E-21	6.29E-19
phosphate-containing compound metabolic process (GO:0006796)	1276	142	90.77	+	1.56	1.41E-07	6.04E-06
phosphorus metabolic process (GO:0006793)	1276	142	90.77	+	1.56	1.41E-07	5.97E-06
cell wall organization or biogenesis (GO:0071554)	822	91	58.47	+	1.56	3.69E-05	6.68E-04
small molecule catabolic process (GO:0044282)	371	41	26.39	+	1.55	5.85E-03	4.44E-02
macromolecule biosynthetic process (GO:0009059)	4239	461	301.53	+	1.53	1.25E-20	3.30E-18
response to oxygen-containing compound (GO:1901700)	545	58	38.77	+	1.50	2.44E-03	2.42E-02
lipid biosynthetic process (GO:0008610)	895	95	63.66	+	1.49	1.03E-04	1.67E-03
carbohydrate metabolic process (GO:0005975)	1861	197	132.38	+	1.49	2.48E-08	1.39E-06
cell cycle (GO:0007049)	710	74	50.50	+	1.47	1.16E-03	1.33E-02
protein maturation (GO:0051604)	646	67	45.95	+	1.46	2.01E-03	2.09E-02
RNA processing (GO:0006396)	1423	147	101.22	+	1.45	6.47E-06	1.57E-04
metabolic process (GO:0008152)	14386	1469	1023.32	+	1.44	5.89E-59	7.25E-56
organophosphate biosynthetic process (GO:0090407)	716	72	50.93	+	1.41	3.31E-03	3.10E-02
lipid metabolic process (GO:0006629)	1687	169	120.00	+	1.41	7.27E-06	1.74E-04
nucleobase-containing compound biosynthetic process (GO:0034654)	2448	243	174.13	+	1.40	1.28E-07	5.72E-06
carbohydrate derivative metabolic process (GO:1901135)	1047	102	74.48	+	1.37	1.28E-03	1.46E-02
primary metabolic process (GO:0044238)	12147	1180	864.05	+	1.37	4.13E-34	2.18E-31
nucleic acid biosynthetic process (GO:0141187)	2058	197	146.39	+	1.35	2.17E-05	4.27E-04
RNA biosynthetic process (GO:0032774)	1931	183	137.36	+	1.33	8.54E-05	1.42E-03
RNA metabolic process (GO:0016070)	2634	249	187.36	+	1.33	4.40E-06	1.14E-04
nucleobase-containing compound metabolic process (GO:0006139)	4471	421	318.04	+	1.32	2.12E-09	1.63E-07
cellular component biogenesis (GO:0044085)	1754	165	124.77	+	1.32	2.71E-04	3.90E-03
cellular process (GO:0009987)	23234	2169	1652.71	+	1.31	1.69E-65	6.25E-62
transmembrane transport (GO:0055085)	2733	244	194.41	+	1.26	2.45E-04	3.59E-03
nucleic acid metabolic process (GO:0090304)	3646	319	259.35	+	1.23	1.09E-04	1.76E-03
macromolecule metabolic process (GO:0043170)	8457	730	601.57	+	1.21	9.08E-09	6.45E-07
biological_process (GO:0008150)	29105	2497	2070.33	+	1.21	2.21E-45	1.63E-42
cellular component organization or biogenesis (GO:0071840)	4470	382	317.97	+	1.20	1.48E-04	2.29E-03
protein metabolic process (GO:0019538)	4207	356	299.26	+	1.19	5.32E-04	7.02E-03
biological regulation (GO:0065007)	8475	534	602.85	-	.89	1.43E-03	1.60E-02
regulation of biological process (GO:0050789)	8101	507	576.25	-	.88	1.06E-03	1.24E-02
regulation of cellular process (GO:0050794)	7834	477	557.26	-	.86	1.22E-04	1.95E-03
regulation of metabolic process (GO:0019222)	5123	301	364.42	-	.83	2.33E-04	3.48E-03
regulation of macromolecule metabolic process (GO:0060255)	4955	291	352.46	-	.83	2.94E-04	4.21E-03
regulation of biosynthetic process (GO:0009889)	4810	282	342.15	-	.82	3.41E-04	4.82E-03
regulation of primary metabolic process (GO:0080090)	4558	265	324.22	-	.82	3.05E-04	4.35E-03
regulation of gene expression (GO:0010468)	4750	275	337.88	-	.81	1.57E-04	2.41E-03
regulation of macromolecule biosynthetic process (GO:0010556)	4760	275	338.59	-	.81	1.41E-04	2.21E-03
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4249	239	302.24	-	.79	6.09E-05	1.05E-03
Unclassified (UNCLASSIFIED)	26748	1476	1902.67	-	.78	2.21E-45	2.04E-42
macromolecule localization (GO:0033036)	1669	91	118.72	-	.77	6.71E-03	4.98E-02
regulation of RNA biosynthetic process (GO:2001141)	4021	219	286.03	-	.77	1.09E-05	2.35E-04
regulation of DNA-templated transcription (GO:0006355)	4021	219	286.03	-	.77	1.09E-05	2.34E-04
regulation of RNA metabolic process (GO:0051252)	4137	225	294.28	-	.76	7.86E-06	1.85E-04
regulation of transcription by RNA polymerase II (GO:0006357)	1032	51	73.41	-	.69	4.87E-03	4.17E-02
protein localization (GO:0008104)	1381	67	98.23	-	.68	6.72E-04	8.38E-03
cellular macromolecule localization (GO:0070727)	1385	67	98.52	-	.68	5.64E-04	7.21E-03
establishment of protein localization (GO:0045184)	1249	59	88.85	-	.66	5.45E-04	7.08E-03
protein transport (GO:0015031)	1123	52	79.88	-	.65	6.55E-04	8.23E-03
response to other organism (GO:0051707)	725	33	51.57	-	.64	5.58E-03	4.43E-02
response to external biotic stimulus (GO:0043207)	725	33	51.57	-	.64	5.58E-03	4.42E-02
response to biotic stimulus (GO:0009607)	727	33	51.71	-	.64	5.62E-03	4.36E-02
response to external stimulus (GO:0009605)	842	38	59.89	-	.63	2.29E-03	2.33E-02
cellular localization (GO:0051641)	1682	74	119.65	-	.62	3.53E-06	9.37E-05
protein modification by small protein conjugation (GO:0032446)	916	36	65.16	-	.55	5.56E-05	9.69E-04
protein ubiquitination (GO:0016567)	870	34	61.89	-	.55	8.22E-05	1.38E-03
protein modification process (GO:0036211)	1313	50	93.40	-	.54	3.91E-07	1.40E-05
protein catabolic process (GO:0030163)	880	33	62.60	-	.53	2.87E-05	5.44E-04
defense response to other organism (GO:0098542)	600	22	42.68	-	.52	4.23E-04	5.73E-03
proteolysis involved in protein catabolic process (GO:0051603)	869	31	61.81	-	.50	1.02E-05	2.22E-04
post-translational protein modification (GO:0043687)	1019	36	72.48	-	.50	1.39E-06	4.20E-05
protein modification by small protein conjugation or removal (GO:0070647)	1019	36	72.48	-	.50	1.39E-06	4.16E-05
RNA splicing (GO:0008380)	484	17	34.43	-	.49	9.70E-04	1.15E-02
intracellular protein transport (GO:0006886)	605	21	43.04	-	.49	1.72E-04	2.63E-03
proteasomal protein catabolic process (GO:0010498)	440	15	31.30	-	.48	1.43E-03	1.60E-02
modification-dependent protein catabolic process (GO:0019941)	677	23	48.16	-	.48	4.43E-05	7.83E-04
modification-dependent macromolecule catabolic process (GO:0043632)	681	23	48.44	-	.47	4.53E-05	7.96E-04
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	398	13	28.31	-	.46	1.60E-03	1.76E-02
RNA splicing, via transesterification reactions (GO:0000375)	399	13	28.38	-	.46	1.62E-03	1.77E-02
vesicle-mediated transport (GO:0016192)	976	30	69.43	-	.43	5.25E-08	2.55E-06
establishment of localization in cell (GO:0051649)	987	28	70.21	-	.40	4.67E-09	3.52E-07
intracellular transport (GO:0046907)	928	26	66.01	-	.39	1.08E-08	7.40E-07
ubiquitin-dependent protein catabolic process (GO:0006511)	658	17	46.81	-	.36	3.80E-07	1.37E-05
vesicle organization (GO:0016050)	188	4	13.37	-	.30	4.09E-03	3.64E-02
membrane lipid metabolic process (GO:0006643)	161	3	11.45	-	.26	5.16E-03	4.15E-02
mRNA splicing, via spliceosome (GO:0000398)	369	6	26.25	-	.23	2.12E-06	6.03E-05
telomere maintenance (GO:0000723)	330	5	23.47	-	.21	4.64E-06	1.18E-04
telomere organization (GO:0032200)	330	5	23.47	-	.21	4.64E-06	1.17E-04
vacuolar transport (GO:0007034)	135	2	9.60	-	.21	6.35E-03	4.75E-02
Golgi vesicle transport (GO:0048193)	324	4	23.05	-	.17	1.23E-06	3.81E-05
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	166	2	11.81	-	.17	7.49E-04	9.31E-03
root development (GO:0048364)	147	1	10.46	-	.10	5.33E-04	7.00E-03
root system development (GO:0022622)	147	1	10.46	-	.10	5.33E-04	6.98E-03
transcription by RNA polymerase II (GO:0006366)	172	1	12.23	-	.08	7.69E-05	1.30E-03
macroautophagy (GO:0016236)	104	0	7.40	-	 < 0.01	8.37E-04	1.01E-02
RNA export from nucleus (GO:0006405)	81	0	5.76	-	 < 0.01	4.16E-03	3.69E-02
multivesicular body sorting pathway (GO:0071985)	76	0	5.41	-	 < 0.01	6.25E-03	4.69E-02
tropism (GO:0009606)	78	0	5.55	-	 < 0.01	6.43E-03	4.80E-02
regulation of generation of precursor metabolites and energy (GO:0043467)	75	0	5.33	-	 < 0.01	6.23E-03	4.69E-02
mRNA transport (GO:0051028)	87	0	6.19	-	 < 0.01	2.78E-03	2.71E-02
endosome transport via multivesicular body sorting pathway (GO:0032509)	76	0	5.41	-	 < 0.01	6.25E-03	4.68E-02
base-excision repair (GO:0006284)	81	0	5.76	-	 < 0.01	4.16E-03	3.68E-02
regulation of growth (GO:0040008)	105	0	7.47	-	 < 0.01	8.53E-04	1.03E-02
protein modification by small protein removal (GO:0070646)	103	0	7.33	-	 < 0.01	8.30E-04	1.01E-02
protein deubiquitination (GO:0016579)	83	0	5.90	-	 < 0.01	4.25E-03	3.74E-02
protein processing (GO:0016485)	82	0	5.83	-	 < 0.01	4.19E-03	3.70E-02
late endosome to vacuole transport (GO:0045324)	83	0	5.90	-	 < 0.01	4.25E-03	3.73E-02
autophagosome organization (GO:1905037)	79	0	5.62	-	 < 0.01	6.60E-03	4.92E-02
autophagosome assembly (GO:0000045)	79	0	5.62	-	 < 0.01	6.60E-03	4.91E-02
vacuole organization (GO:0007033)	100	0	7.11	-	 < 0.01	1.29E-03	1.46E-02
mRNA cis splicing, via spliceosome (GO:0045292)	98	0	6.97	-	 < 0.01	1.24E-03	1.42E-02
